0000	00000000	00000000	00000000
0000	00000000	00000001	00000001
0000	00000000	ffffffff	ffffffff
0000	00000000	00000002	00000002
0000	00000000	000000ff	000000ff
0000	00000000	ffffff00	ffffff00
0000	00000000	00000002	00000002
0000	00000000	00000003	00000003
0000	00000000	0000000a	0000000a
0000	00000001	00000000	00000001
0000	00000001	00000001	00000002
0000	00000001	ffffffff	00000000
0000	00000001	00000002	00000003
0000	00000001	000000ff	00000100
0000	00000001	ffffff00	ffffff01
0000	00000001	00000002	00000003
0000	00000001	00000003	00000004
0000	00000001	0000000a	0000000b
0000	ffffffff	00000000	ffffffff
0000	ffffffff	00000001	00000000
0000	ffffffff	ffffffff	fffffffe
0000	ffffffff	00000002	00000001
0000	ffffffff	000000ff	000000fe
0000	ffffffff	ffffff00	fffffeff
0000	ffffffff	00000002	00000001
0000	ffffffff	00000003	00000002
0000	ffffffff	0000000a	00000009
0000	00000002	00000000	00000002
0000	00000002	00000001	00000003
0000	00000002	ffffffff	00000001
0000	00000002	00000002	00000004
0000	00000002	000000ff	00000101
0000	00000002	ffffff00	ffffff02
0000	00000002	00000002	00000004
0000	00000002	00000003	00000005
0000	00000002	0000000a	0000000c
0000	000000ff	00000000	000000ff
0000	000000ff	00000001	00000100
0000	000000ff	ffffffff	000000fe
0000	000000ff	00000002	00000101
0000	000000ff	000000ff	000001fe
0000	000000ff	ffffff00	ffffffff
0000	000000ff	00000002	00000101
0000	000000ff	00000003	00000102
0000	000000ff	0000000a	00000109
0000	ffffff00	00000000	ffffff00
0000	ffffff00	00000001	ffffff01
0000	ffffff00	ffffffff	fffffeff
0000	ffffff00	00000002	ffffff02
0000	ffffff00	000000ff	ffffffff
0000	ffffff00	ffffff00	fffffe00
0000	ffffff00	00000002	ffffff02
0000	ffffff00	00000003	ffffff03
0000	ffffff00	0000000a	ffffff0a
0000	00000002	00000000	00000002
0000	00000002	00000001	00000003
0000	00000002	ffffffff	00000001
0000	00000002	00000002	00000004
0000	00000002	000000ff	00000101
0000	00000002	ffffff00	ffffff02
0000	00000002	00000002	00000004
0000	00000002	00000003	00000005
0000	00000002	0000000a	0000000c
0000	00000003	00000000	00000003
0000	00000003	00000001	00000004
0000	00000003	ffffffff	00000002
0000	00000003	00000002	00000005
0000	00000003	000000ff	00000102
0000	00000003	ffffff00	ffffff03
0000	00000003	00000002	00000005
0000	00000003	00000003	00000006
0000	00000003	0000000a	0000000d
0000	0000000a	00000000	0000000a
0000	0000000a	00000001	0000000b
0000	0000000a	ffffffff	00000009
0000	0000000a	00000002	0000000c
0000	0000000a	000000ff	00000109
0000	0000000a	ffffff00	ffffff0a
0000	0000000a	00000002	0000000c
0000	0000000a	00000003	0000000d
0000	0000000a	0000000a	00000014
0001	00000000	00000000	00000000
0001	00000000	00000001	ffffffff
0001	00000000	ffffffff	00000001
0001	00000000	00000002	fffffffe
0001	00000000	000000ff	ffffff01
0001	00000000	ffffff00	00000100
0001	00000000	00000002	fffffffe
0001	00000000	00000003	fffffffd
